form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,analysis_tag,paradigm_tag,source,page,language_id
komlitan001,no_stem,1.sg,kei,kei,kei,k ei,k ei,unspecified,,,Kanshouwa2026Litan,nopage,komlitan
komlitan002,no_stem,1.pl.excl,keini,keini,kei+ni,k ei n i,k ei + n i,unspecified,,,Kanshouwa2026Litan,nopage,komlitan
komlitan003,no_stem,1.pl.incl,eini,eini,ei+ni,ei n i,ei + n i,unspecified,,,Kanshouwa2026Litan,nopage,komlitan
komlitan004,no_stem,2.sg,nang,nang,nang,n a ŋ,n a ŋ,unspecified,,,Kanshouwa2026Litan,nopage,komlitan
komlitan005,no_stem,2.pl,nangni,nangni,nang+ni,n a ŋ n i,n a ŋ + n i,unspecified,,,Kanshouwa2026Litan,nopage,komlitan
komlitan006,no_stem,3.sg,ama,ama,a+ma,a m a,a + m a,unspecified,,,Kanshouwa2026Litan,nopage,komlitan
komlitan007,no_stem,3.pl,anmani,anmani,a+n+ma+ni,a n m a n i,a + n + m a + n i,unspecified,,,Kanshouwa2026Litan,nopage,komlitan
komlitan008,che,1.sg.fut.aff,ki-che-sik,ki-Σ-sik,ki+Σ+sik,k i Σ s i k,k i + Σ + s i k,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan009,che,1.sg.fut.aff,ki-che-sik-ke,ki-Σ-sik-ke,ki+Σ+sik+ke,k i Σ s i k k e,k i + Σ + s i k + k e,unspecified,,certain_fut,Kanshouwa2026LitanKom,nopage,komlitan
komlitan010,che,1.pl.excl.fut.aff,kin-che-sik,kin-Σ-sik,ki+n+Σ+sik,k i n Σ s i k,k i + n + Σ + s i k,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan011,che,1.pl.excl.fut.aff,kin-che-sik-ke,kin-Σ-sik-ke,ki+n+Σ+sik+ke,k i n Σ s i k k e,k i + n + Σ + s i k + k e,unspecified,,certain_fut,Kanshouwa2026LitanKom,nopage,komlitan
komlitan012,che,1.pl.incl.fut.aff,nin-che-sik,nin-Σ-sik,ni+n+Σ+sik,n i n Σ s i k,n i + n + Σ + s i k,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan013,che,1.pl.incl.fut.aff,nin-che-sik-ke,nin-Σ-sik-ke,ni+n+Σ+sik+ke,n i n Σ s i k k e,n i + n + Σ + s i k + k e,unspecified,,certain_fut,Kanshouwa2026LitanKom,nopage,komlitan
komlitan014,mu,1.sg.2.sg.fut.aff,ki-ni-mu-sik,ki-ni-Σ-sik,ki+ni+Σ+sik,k i n i Σ s i k,k i + n i + Σ + s i k,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan015,mu,1.sg.2.sg.fut.aff,ki-ni-mu-sik-ke,ki-ni-Σ-sik-ke,ki+ni+Σ+sik+ke,k i n i Σ s i k k e,k i + n i + Σ + s i k + k e,unspecified,,certain_fut,Kanshouwa2026LitanKom,nopage,komlitan
komlitan016,mu,1.sg.2.pl.fut.aff,ki-ni-mu-sik,ki-ni-Σ-sik,ki+ni+Σ+sik,k i n i Σ s i k,k i + n i + Σ + s i k,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan017,mu,1.sg.2.pl.fut.aff,ki-ni-mu-sik-ke,ki-ni-Σ-sik-ke,ki+ni+Σ+sik+ke,k i n i Σ s i k k e,k i + n i + Σ + s i k + k e,unspecified,,certain_fut,Kanshouwa2026LitanKom,nopage,komlitan
komlitan018,mu,1.pl.excl.2.sg.fut.aff,kin-na-mu-sik,kin-na-Σ-sik,ki+n+na+Σ+sik,k i n n a Σ s i k,k i + n + n a + Σ + s i k,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan019,mu,1.pl.excl.2.sg.fut.aff,kin-na-mu-sik-ke,kin-na-Σ-sik-ke,ki+n+na+Σ+sik+ke,k i n n a Σ s i k k e,k i + n + n a + Σ + s i k + k e,unspecified,,certain_fut,Kanshouwa2026LitanKom,nopage,komlitan
komlitan020,mu,1.pl.excl.2.pl.fut.aff,kin-ni-mu-sik,kin-ni-Σ-sik,ki+n+ni+Σ+sik,k i n n i Σ s i k,k i + n + n i + Σ + s i k,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan021,mu,1.pl.excl.2.pl.fut.aff,kin-ni-mu-sik-ke,kin-ni-Σ-sik-ke,ki+n+ni+Σ+sik+ke,k i n n i Σ s i k k e,k i + n + n i + Σ + s i k + k e,unspecified,,certain_fut,Kanshouwa2026LitanKom,nopage,komlitan
komlitan022,mu,1.sg.3.sg.fut.aff,ki-mu-sik,ki-Σ-sik,ki+Σ+sik,k i Σ s i k,k i + Σ + s i k,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan023,mu,1.sg.3.sg.fut.aff,ki-mu-sik-ke,ki-Σ-sik-ke,ki+Σ+sik+ke,k i Σ s i k k e,k i + Σ + s i k + k e,unspecified,,certain_fut,Kanshouwa2026LitanKom,nopage,komlitan
komlitan024,mu,1.sg.3.pl.fut.aff,ki-mu-sik,ki-Σ-sik,ki+Σ+sik,k i Σ s i k,k i + Σ + s i k,unspecified,,,Kanshouwa2026LitanKom,nopage,komlitan
komlitan025,mu,1.sg.3.pl.fut.aff,ki-mu-sik-ke,ki-Σ-sik-ke,ki+Σ+sik+ke,k i Σ s i k k e,k i + Σ + s i k + k e,unspecified,,certain_fut,Kanshouwa2026LitanKom,nopage,komlitan
