morph_id,morph,position,in_cells,in_forms,language_id
komlitanM01,a,free,3.sg; 3.pl,komlitan006; komlitan007,komlitan
komlitanM02,a,pre,3.sg.fut.aff; 3.sg.fut.aff; 3.pl.fut.aff; 3.pl.fut.aff; 3.sg.1.sg.fut.aff; 3.sg.1.sg.fut.aff; 3.sg.1.pl.excl.fut.aff; 3.sg.1.pl.excl.fut.aff; 3.sg.1.pl.incl.fut.aff; 3.sg.1.pl.incl.fut.aff; 3.pl.1.sg.fut.aff; 3.pl.1.sg.fut.aff; 3.pl.1.pl.excl.fut.aff; 3.pl.1.pl.excl.fut.aff; 3.pl.1.pl.incl.fut.aff; 3.pl.1.pl.incl.fut.aff; 3.sg.2.sg.fut.aff; 3.sg.2.sg.fut.aff; 3.sg.2.pl.fut.aff; 3.sg.2.pl.fut.aff; 3.pl.2.sg.fut.aff; 3.pl.2.sg.fut.aff; 3.pl.2.pl.fut.aff; 3.pl.2.pl.fut.aff; 3.sg.3.sg.fut.aff; 3.sg.3.sg.fut.aff; 3.sg.3.pl.fut.aff; 3.sg.3.pl.fut.aff; 3.pl.3.sg.fut.aff; 3.pl.3.sg.fut.aff; 3.pl.3.pl.fut.aff; 3.pl.3.pl.fut.aff; 3.sg.nfut.aff; 3.pl.nfut.aff; 3.sg.1.sg.nfut.aff; 3.sg.1.pl.excl.nfut.aff; 3.sg.1.pl.incl.nfut.aff; 3.pl.1.sg.nfut.aff; 3.pl.1.pl.excl.nfut.aff; 3.pl.1.pl.incl.nfut.aff; 3.sg.2.sg.nfut.aff; 3.sg.2.pl.nfut.aff; 3.pl.2.sg.nfut.aff; 3.pl.2.pl.nfut.aff; 3.sg.3.sg.nfut.aff; 3.sg.3.pl.nfut.aff; 3.pl.3.sg.nfut.aff; 3.pl.3.pl.nfut.aff,komlitan054; komlitan055; komlitan056; komlitan057; komlitan058; komlitan059; komlitan060; komlitan061; komlitan062; komlitan063; komlitan064; komlitan065; komlitan066; komlitan067; komlitan068; komlitan069; komlitan070; komlitan071; komlitan072; komlitan073; komlitan074; komlitan075; komlitan076; komlitan077; komlitan078; komlitan079; komlitan080; komlitan081; komlitan082; komlitan083; komlitan084; komlitan085; komlitan152; komlitan153; komlitan154; komlitan155; komlitan156; komlitan157; komlitan158; komlitan159; komlitan160; komlitan161; komlitan162; komlitan163; komlitan164; komlitan165; komlitan166; komlitan167,komlitan
komlitanM03,e ŋ,post,1.sg.nfut.neg; 1.sg.2.sg.nfut.neg; 1.sg.2.pl.nfut.neg; 1.sg.2.pl.nfut.neg; 1.sg.3.sg.nfut.neg; 1.sg.3.pl.nfut.neg,komlitan168; komlitan171; komlitan172; komlitan173; komlitan176; komlitan177,komlitan
komlitanM04,ei,free,1.pl.incl,komlitan003,komlitan
komlitanM05,k e,post,1.sg.fut.aff; 1.pl.excl.fut.aff; 1.pl.incl.fut.aff; 1.sg.2.sg.fut.aff; 1.sg.2.pl.fut.aff; 1.pl.excl.2.sg.fut.aff; 1.pl.excl.2.pl.fut.aff; 1.sg.3.sg.fut.aff; 1.sg.3.pl.fut.aff; 1.pl.excl.3.sg.fut.aff; 1.pl.incl.3.sg.fut.aff; 1.pl.excl.3.pl.fut.aff; 1.pl.incl.3.pl.fut.aff; 2.sg.fut.aff; 2.pl.fut.aff; 2.sg.1.sg.fut.aff; 2.sg.1.pl.excl.fut.aff; 2.pl.1.sg.fut.aff; 2.pl.1.pl.excl.fut.aff; 2.sg.3.sg.fut.aff; 2.sg.3.pl.fut.aff; 2.pl.3.sg.fut.aff; 2.pl.3.pl.fut.aff; 3.sg.fut.aff; 3.pl.fut.aff; 3.sg.1.sg.fut.aff; 3.sg.1.pl.excl.fut.aff; 3.sg.1.pl.incl.fut.aff; 3.pl.1.sg.fut.aff; 3.pl.1.pl.excl.fut.aff; 3.pl.1.pl.incl.fut.aff; 3.sg.2.sg.fut.aff; 3.sg.2.pl.fut.aff; 3.pl.2.sg.fut.aff; 3.pl.2.pl.fut.aff; 3.sg.3.sg.fut.aff; 3.sg.3.pl.fut.aff; 3.pl.3.sg.fut.aff; 3.pl.3.pl.fut.aff,komlitan009; komlitan011; komlitan013; komlitan015; komlitan017; komlitan019; komlitan021; komlitan023; komlitan025; komlitan027; komlitan029; komlitan031; komlitan033; komlitan035; komlitan037; komlitan039; komlitan041; komlitan043; komlitan045; komlitan047; komlitan049; komlitan051; komlitan053; komlitan055; komlitan057; komlitan059; komlitan061; komlitan063; komlitan065; komlitan067; komlitan069; komlitan071; komlitan073; komlitan075; komlitan077; komlitan079; komlitan081; komlitan083; komlitan085,komlitan
komlitanM06,k ei,free,1.sg; 1.pl.excl,komlitan001; komlitan002,komlitan
komlitanM07,k i,pre,1.sg.fut.aff; 1.sg.fut.aff; 1.pl.excl.fut.aff; 1.pl.excl.fut.aff; 1.sg.2.sg.fut.aff; 1.sg.2.sg.fut.aff; 1.sg.2.pl.fut.aff; 1.sg.2.pl.fut.aff; 1.pl.excl.2.sg.fut.aff; 1.pl.excl.2.sg.fut.aff; 1.pl.excl.2.pl.fut.aff; 1.pl.excl.2.pl.fut.aff; 1.sg.3.sg.fut.aff; 1.sg.3.sg.fut.aff; 1.sg.3.pl.fut.aff; 1.sg.3.pl.fut.aff; 1.pl.excl.3.sg.fut.aff; 1.pl.excl.3.sg.fut.aff; 1.pl.excl.3.pl.fut.aff; 1.pl.excl.3.pl.fut.aff; 1.sg.nfut.aff; 1.pl.excl.nfut.aff; 1.sg.2.sg.nfut.aff; 1.sg.2.pl.nfut.aff; 1.pl.excl.2.sg.nfut.aff; 1.pl.excl.2.pl.nfut.aff; 1.sg.3.sg.nfut.aff; 1.sg.3.pl.nfut.aff; 1.pl.excl.3.sg.nfut.aff; 1.pl.excl.3.pl.nfut.aff,komlitan008; komlitan009; komlitan010; komlitan011; komlitan014; komlitan015; komlitan016; komlitan017; komlitan018; komlitan019; komlitan020; komlitan021; komlitan022; komlitan023; komlitan024; komlitan025; komlitan026; komlitan027; komlitan030; komlitan031; komlitan129; komlitan130; komlitan132; komlitan133; komlitan134; komlitan135; komlitan136; komlitan137; komlitan138; komlitan140,komlitan
komlitanM08,m a,free,3.sg; 3.pl,komlitan006; komlitan007,komlitan
komlitanM09,m a,post,1.sg.2.pl.nfut.neg; 3.pl.nfut.neg,komlitan173; komlitan194,komlitan
komlitanM10,m a k,post,1.sg.nfut.neg; 1.pl.excl.nfut.neg; 1.pl.incl.nfut.neg; 1.sg.2.sg.nfut.neg; 1.sg.2.pl.nfut.neg; 1.pl.excl.2.sg.nfut.neg; 1.pl.excl.2.pl.nfut.neg; 1.sg.3.sg.nfut.neg; 1.sg.3.pl.nfut.neg; 1.pl.excl.3.sg.nfut.neg; 1.pl.incl.3.sg.nfut.neg; 1.pl.excl.3.pl.nfut.neg; 1.pl.incl.3.pl.nfut.neg; 2.sg.nfut.neg; 2.pl.nfut.neg; 2.sg.1.sg.nfut.neg; 2.sg.1.pl.excl.nfut.neg; 2.pl.1.sg.nfut.neg; 2.pl.1.pl.excl.nfut.neg; 2.sg.3.sg.nfut.neg; 2.sg.3.pl.nfut.neg; 2.pl.3.sg.nfut.neg; 2.pl.3.pl.nfut.neg; 3.sg.nfut.neg; 3.pl.nfut.neg; 3.sg.1.sg.nfut.neg; 3.sg.1.pl.excl.nfut.neg; 3.sg.1.pl.incl.nfut.neg; 3.pl.1.sg.nfut.neg; 3.pl.1.pl.excl.nfut.neg; 3.pl.1.pl.incl.nfut.neg; 3.sg.2.sg.nfut.neg; 3.sg.2.pl.nfut.neg; 3.pl.2.sg.nfut.neg; 3.pl.2.pl.nfut.neg; 3.sg.3.sg.nfut.neg; 3.sg.3.pl.nfut.neg; 3.pl.3.sg.nfut.neg; 3.pl.3.pl.nfut.neg,komlitan168; komlitan169; komlitan170; komlitan171; komlitan172; komlitan174; komlitan175; komlitan176; komlitan177; komlitan178; komlitan179; komlitan180; komlitan181; komlitan182; komlitan183; komlitan184; komlitan185; komlitan186; komlitan187; komlitan188; komlitan189; komlitan190; komlitan191; komlitan192; komlitan193; komlitan195; komlitan196; komlitan197; komlitan198; komlitan199; komlitan200; komlitan201; komlitan202; komlitan203; komlitan204; komlitan205; komlitan206; komlitan207; komlitan208,komlitan
